timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,Latency,Latency,Latency
1650344638201,193,HTTP Request,200,OK,Thread Group 1-1,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,143,0,33,,143,162,160
1650344638558,225,HTTP Request,200,OK,Thread Group 1-2,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,129,0,1,,129,125,138
1650344638600,217,HTTP Request,200,OK,Thread Group 1-1,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,190,0,1,,190,176,188
1650344639019,181,HTTP Request,200,OK,Thread Group 1-1,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,121,0,1,,121,83,206
1650344639019,288,HTTP Request,200,OK,Thread Group 1-2,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,205,0,2,,205,160,172
1650344639164,196,HTTP Request,200,OK,Thread Group 1-3,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,161,0,1,,161,99,207
1650344639406,132,HTTP Request,200,OK,Thread Group 1-1,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,72,0,0,,72,112,191
1650344639514,151,HTTP Request,200,OK,Thread Group 1-2,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,80,0,1,,80,174,254
1650344639573,156,HTTP Request,200,OK,Thread Group 1-3,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,107,0,0,,107,153,316
1650344639743,135,HTTP Request,200,OK,Thread Group 1-1,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,85,0,0,,85,147,168
1650344639757,223,HTTP Request,200,OK,Thread Group 1-4,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,158,0,1,,158,214,77
1650344639869,228,HTTP Request,200,OK,Thread Group 1-2,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,142,0,1,,142,231,107
1650344639931,253,HTTP Request,200,OK,Thread Group 1-3,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,198,0,2,,198,247,117
1650344640084,176,HTTP Request,200,OK,Thread Group 1-1,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,117,0,13,,117,75,200
1650344640183,165,HTTP Request,200,OK,Thread Group 1-4,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,103,0,1,,103,103,116
1650344640307,133,HTTP Request,200,OK,Thread Group 1-2,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,88,0,0,,88,177,153
1650344640358,285,HTTP Request,200,OK,Thread Group 1-5,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,206,0,0,,206,289,200
1650344640391,311,HTTP Request,200,OK,Thread Group 1-3,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,215,0,0,,215,254,165
1650344640461,356,HTTP Request,200,OK,Thread Group 1-1,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,283,0,0,,283,155,199
1650344640556,290,HTTP Request,200,OK,Thread Group 1-4,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,195,0,0,,195,303,224
1650344640645,255,HTTP Request,200,OK,Thread Group 1-2,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,214,0,0,,214,124,248
1650344640844,139,HTTP Request,200,OK,Thread Group 1-5,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,92,0,1,,92,148,307
1650344640902,217,HTTP Request,200,OK,Thread Group 1-3,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,119,0,1,,119,223,324
