timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,,IdleTime,Connect,,Latency1,Latency2,Latency3
1650337178110,658,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,8,8,http://localhost:50001/calculationsStored,,0,0,,647,532,605
1650337178267,635,HTTP Request,200,OK,Thread Group 3-8,text,true,,37675170,9,9,http://localhost:50001/calculationsStored,,0,1,,459,636,592
1650337178399,580,HTTP Request,200,OK,Thread Group 3-5,text,true,,37675170,9,9,http://localhost:50001/calculationsStored,,0,0,,801,511,535
1650337178475,672,HTTP Request,200,OK,Thread Group 3-6,text,true,,37675170,9,9,http://localhost:50001/calculationsStored,,0,0,,613,676,634
1650337178594,635,HTTP Request,200,OK,Thread Group 3-7,text,true,,37675170,9,9,http://localhost:50001/calculationsStored,,0,0,,329,571,608
1650337178278,1029,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,9,9,http://localhost:50001/calculationsStored,,0,1,,736,545,985
1650337178648,718,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,9,9,http://localhost:50001/calculationsStored,,0,0,,446,580,679
1650337178743,753,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,10,10,http://localhost:50001/calculationsStored,,0,0,,735,476,686
1650337178868,718,HTTP Request,200,OK,Thread Group 3-9,text,true,,37675170,10,10,http://localhost:50001/calculationsStored,,0,0,,664,726,676
1650337178902,831,HTTP Request,200,OK,Thread Group 3-8,text,true,,37675170,10,10,http://localhost:50001/calculationsStored,,0,0,,866,786,801
1650337178768,1074,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,10,10,http://localhost:50001/calculationsStored,,0,1,,650,584,1043
1650337179147,746,HTTP Request,200,OK,Thread Group 3-6,text,true,,37675170,10,10,http://localhost:50001/calculationsStored,,0,1,,555,863,712
1650337178980,986,HTTP Request,200,OK,Thread Group 3-5,text,true,,37675170,10,10,http://localhost:50001/calculationsStored,,0,0,,662,1073,938
1650337179229,906,HTTP Request,200,OK,Thread Group 3-7,text,true,,37675170,11,11,http://localhost:50001/calculationsStored,,0,1,,1072,672,852
1650337179307,875,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,11,11,http://localhost:50001/calculationsStored,,0,0,,566,749,828
1650337179366,920,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,11,11,http://localhost:50001/calculationsStored,,0,1,,869,829,846
1650337179471,872,HTTP Request,200,OK,Thread Group 3-10,text,true,,37675170,11,11,http://localhost:50001/calculationsStored,,0,0,,597,557,841
1650337179496,942,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,11,11,http://localhost:50001/calculationsStored,,0,0,,806,843,880
1650337179586,1030,HTTP Request,200,OK,Thread Group 3-9,text,true,,37675170,11,11,http://localhost:50001/calculationsStored,,0,1,,807,562,999
1650337179734,946,HTTP Request,200,OK,Thread Group 3-8,text,true,,37675170,12,12,http://localhost:50001/calculationsStored,,0,0,,1018,951,907
1650337179966,822,HTTP Request,200,OK,Thread Group 3-5,text,true,,37675170,12,12,http://localhost:50001/calculationsStored,,0,0,,790,961,774
1650337179893,943,HTTP Request,200,OK,Thread Group 3-6,text,true,,37675170,12,12,http://localhost:50001/calculationsStored,,0,0,,773,761,898
1650337180070,867,HTTP Request,200,OK,Thread Group 3-11,text,true,,37675170,12,12,http://localhost:50001/calculationsStored,,0,0,,912,569,819
1650337179842,1139,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,12,12,http://localhost:50001/calculationsStored,,0,0,,987,697,1078
1650337180135,931,HTTP Request,200,OK,Thread Group 3-7,text,true,,37675170,12,12,http://localhost:50001/calculationsStored,,0,0,,929,1178,885
