timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,Latency,Latency,Latency
1650339928191,141,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,1,1,http://localhost:50001/calculationsStored,103,0,2,,103,103,99
1650339928333,117,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,1,1,http://localhost:50001/calculationsStored,78,0,0,,78,79,78
1650339928450,122,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,1,1,http://localhost:50001/calculationsStored,79,0,1,,79,78,77
1650339928572,116,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,1,1,http://localhost:50001/calculationsStored,79,0,0,,79,77,78
1650339928688,123,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,84,0,1,,84,82,77
1650339928794,151,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,111,0,0,,111,147,109
1650339928812,221,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,173,0,0,,173,218,206
1650339928946,217,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,182,0,0,,182,104,139
1650339929034,270,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,206,0,1,,206,171,157
1650339929163,234,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,171,0,1,,171,188,162
1650339929304,183,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,120,0,1,,120,167,177
1650339929396,328,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,233,0,1,,233,188,173
1650339929398,332,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,214,0,0,,214,358,236
1650339929487,345,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,286,0,1,,286,261,336
1650339929732,210,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,168,0,0,,168,199,216
1650339929731,309,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,250,0,0,,250,176,434
1650339929942,364,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,267,0,0,,267,326,296
