timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,Latency,Latency,Latency
1650345168316,192,HTTP Request,200,OK,Thread Group 1-1,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,146,0,33,,146,155,147
1650345168691,178,HTTP Request,200,OK,Thread Group 1-2,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,105,0,1,,105,129,127
1650345168709,220,HTTP Request,200,OK,Thread Group 1-1,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,172,0,1,,172,167,206
1650345169070,169,HTTP Request,200,OK,Thread Group 1-2,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,114,0,1,,114,78,80
1650345169130,198,HTTP Request,200,OK,Thread Group 1-1,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,136,0,0,,136,167,134
1650345169293,118,HTTP Request,200,OK,Thread Group 1-3,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,80,0,1,,80,120,86
1650345169452,129,HTTP Request,200,OK,Thread Group 1-2,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,72,0,1,,72,71,92
1650345169530,174,HTTP Request,200,OK,Thread Group 1-1,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,91,0,1,,91,85,133
1650345169613,138,HTTP Request,200,OK,Thread Group 1-3,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,105,0,0,,105,91,145
1650345169782,121,HTTP Request,200,OK,Thread Group 1-2,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,72,0,1,,72,92,79
1650345169902,223,HTTP Request,200,OK,Thread Group 1-4,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,159,0,1,,159,178,145
1650345169912,246,HTTP Request,200,OK,Thread Group 1-1,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,184,0,0,,184,267,134
1650345169952,274,HTTP Request,200,OK,Thread Group 1-3,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,232,0,0,,232,271,316
1650345170105,368,HTTP Request,200,OK,Thread Group 1-2,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,285,0,3,,285,160,112
1650345170427,154,HTTP Request,200,OK,Thread Group 1-3,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,104,0,1,,104,88,92
1650345170337,411,HTTP Request,200,OK,Thread Group 1-4,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,336,0,0,,336,125,84
1650345170359,448,HTTP Request,200,OK,Thread Group 1-1,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,331,0,1,,331,160,183
1650345170488,383,HTTP Request,200,OK,Thread Group 1-5,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,313,0,1,,313,272,271
1650345170685,234,HTTP Request,200,OK,Thread Group 1-2,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,155,0,0,,155,261,266
1650345170820,166,HTTP Request,200,OK,Thread Group 1-3,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,126,0,0,,126,160,242
1650345170953,155,HTTP Request,200,OK,Thread Group 1-4,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,100,0,1,,100,337,164
1650345171014,219,HTTP Request,200,OK,Thread Group 1-1,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,158,0,1,,158,130,145
1650345171076,302,HTTP Request,200,OK,Thread Group 1-5,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,237,0,0,,237,349,161
1650345171092,406,HTTP Request,200,OK,Thread Group 1-6,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,338,0,1,,338,311,216
1650345171120,440,HTTP Request,200,OK,Thread Group 1-2,text,true,,37675170,7,7,http://localhost:50001/calculationsStored,373,0,1,,373,270,234
1650345171190,470,HTTP Request,200,OK,Thread Group 1-3,text,true,,37675170,7,7,http://localhost:50001/calculationsStored,409,0,1,,409,552,398
1650345171314,394,HTTP Request,200,OK,Thread Group 1-4,text,true,,37675170,7,7,http://localhost:50001/calculationsStored,329,0,1,,329,296,217
1650345171449,319,HTTP Request,200,OK,Thread Group 1-1,text,true,,37675170,7,7,http://localhost:50001/calculationsStored,268,0,1,,268,274,425
1650345171707,218,HTTP Request,200,OK,Thread Group 1-7,text,true,,37675170,7,7,http://localhost:50001/calculationsStored,178,0,0,,178,473,268
1650345171600,433,HTTP Request,200,OK,Thread Group 1-5,text,true,,37675170,7,7,http://localhost:50001/calculationsStored,390,0,0,,390,282,323
1650345171706,417,HTTP Request,200,OK,Thread Group 1-6,text,true,,37675170,8,8,http://localhost:50001/calculationsStored,364,0,0,,364,472,556
1650345171774,466,HTTP Request,200,OK,Thread Group 1-2,text,true,,37675170,8,8,http://localhost:50001/calculationsStored,423,0,0,,423,441,429
1650345171910,508,HTTP Request,200,OK,Thread Group 1-4,text,true,,37675170,8,8,http://localhost:50001/calculationsStored,411,0,0,,411,380,400
1650345171884,550,HTTP Request,200,OK,Thread Group 1-3,text,true,,37675170,8,8,http://localhost:50001/calculationsStored,457,0,0,,457,429,413
1650345171969,558,HTTP Request,200,OK,Thread Group 1-1,text,true,,37675170,8,8,http://localhost:50001/calculationsStored,522,0,0,,522,439,249
1650345172287,384,HTTP Request,200,OK,Thread Group 1-8,text,true,,37675170,8,8,http://localhost:50001/calculationsStored,343,0,1,,343,427,541
1650345172234,513,HTTP Request,200,OK,Thread Group 1-5,text,true,,37675170,9,9,http://localhost:50001/calculationsStored,438,0,1,,438,500,322
1650345172134,676,HTTP Request,200,OK,Thread Group 1-7,text,true,,37675170,9,9,http://localhost:50001/calculationsStored,603,0,1,,603,572,442
1650345172336,679,HTTP Request,200,OK,Thread Group 1-6,text,true,,37675170,9,9,http://localhost:50001/calculationsStored,604,0,2,,604,414,485
1650345172440,635,HTTP Request,200,OK,Thread Group 1-2,text,true,,37675170,9,9,http://localhost:50001/calculationsStored,586,0,1,,586,582,569
1650345172638,559,HTTP Request,200,OK,Thread Group 1-3,text,true,,37675170,9,9,http://localhost:50001/calculationsStored,488,0,0,,488,469,540
1650345172626,587,HTTP Request,200,OK,Thread Group 1-4,text,true,,37675170,9,9,http://localhost:50001/calculationsStored,504,0,1,,504,677,638
1650345172729,591,HTTP Request,200,OK,Thread Group 1-1,text,true,,37675170,10,10,http://localhost:50001/calculationsStored,536,0,0,,536,427,651
1650345172872,602,HTTP Request,200,OK,Thread Group 1-8,text,true,,37675170,10,10,http://localhost:50001/calculationsStored,536,0,0,,536,534,490
1650345172948,595,HTTP Request,200,OK,Thread Group 1-5,text,true,,37675170,10,10,http://localhost:50001/calculationsStored,542,0,0,,542,612,673
1650345172897,808,HTTP Request,200,OK,Thread Group 1-9,text,true,,37675170,10,10,http://localhost:50001/calculationsStored,717,0,1,,717,626,595
1650345173025,711,HTTP Request,200,OK,Thread Group 1-7,text,true,,37675170,10,10,http://localhost:50001/calculationsStored,629,0,0,,629,537,468
1650345173216,709,HTTP Request,200,OK,Thread Group 1-6,text,true,,37675170,11,11,http://localhost:50001/calculationsStored,658,0,0,,658,674,643
1650345173291,719,HTTP Request,200,OK,Thread Group 1-2,text,true,,37675170,11,11,http://localhost:50001/calculationsStored,644,0,0,,644,628,609
1650345173415,635,HTTP Request,200,OK,Thread Group 1-4,text,true,,37675170,11,11,http://localhost:50001/calculationsStored,530,0,0,,530,688,661
1650345173522,688,HTTP Request,200,OK,Thread Group 1-1,text,true,,37675170,11,11,http://localhost:50001/calculationsStored,625,0,0,,625,668,503
1650345173408,808,HTTP Request,200,OK,Thread Group 1-3,text,true,,37675170,11,11,http://localhost:50001/calculationsStored,739,0,2,,739,562,672
1650345173508,862,HTTP Request,200,OK,Thread Group 1-10,text,true,,37675170,11,11,http://localhost:50001/calculationsStored,796,0,2,,796,772,604
1650345173678,816,HTTP Request,200,OK,Thread Group 1-8,text,true,,37675170,11,11,http://localhost:50001/calculationsStored,765,0,0,,765,742,820
1650345173746,861,HTTP Request,200,OK,Thread Group 1-5,text,true,,37675170,12,12,http://localhost:50001/calculationsStored,819,0,1,,819,661,660
1650345173939,747,HTTP Request,200,OK,Thread Group 1-7,text,true,,37675170,12,12,http://localhost:50001/calculationsStored,701,0,0,,701,567,808
1650345173908,912,HTTP Request,200,OK,Thread Group 1-9,text,true,,37675170,12,12,http://localhost:50001/calculationsStored,847,0,0,,847,683,750
1650345174265,584,HTTP Request,200,OK,Thread Group 1-4,text,true,,37675170,12,12,http://localhost:50001/calculationsStored,514,0,1,,514,668,754
1650345174127,866,HTTP Request,200,OK,Thread Group 1-6,text,true,,37675170,12,12,http://localhost:50001/calculationsStored,832,0,1,,832,610,853
