timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,,IdleTime,Connect,,Latency,Latency,Latency
1650338865050,150,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,1,1,http://localhost:50001/calculationsStored,,0,1,,104,100,94
1650338865201,127,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,1,1,http://localhost:50001/calculationsStored,,0,1,,87,77,79
1650338865329,127,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,1,1,http://localhost:50001/calculationsStored,,0,0,,86,81,82
1650338865456,123,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,1,1,http://localhost:50001/calculationsStored,,0,1,,88,80,78
1650338865579,132,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,,0,1,,92,80,79
1650338865651,168,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,,0,1,,121,113,152
1650338865711,209,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,,0,1,,169,157,191
1650338865819,211,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,,0,1,,170,112,90
1650338865921,213,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,,0,0,,169,141,140
1650338866030,198,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,,0,1,,162,142,153
1650338866134,202,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,,0,0,,153,138,147
1650338866229,250,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,,0,0,,192,139,148
1650338866258,303,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,,0,0,,256,137,198
1650338866336,308,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,,0,0,,265,200,258
1650338866479,271,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,,0,1,,225,311,242
1650338866561,275,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,,0,1,,236,240,212
1650338866645,297,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,,0,0,,251,157,256
1650338866750,291,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,,0,1,,248,246,274
1650338866867,310,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,,0,0,,258,243,358
1650338866837,447,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,,0,0,,391,261,306
1650338866943,414,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,,0,0,,364,306,361
1650338867041,413,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,,0,0,,367,341,334
1650338867178,377,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,,0,0,,314,337,217
1650338867285,373,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,,0,15,,332,301,327
1650338867358,545,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,,0,0,,448,331,432
1650338867455,461,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,,0,0,,405,439,360
1650338867462,513,HTTP Request,200,OK,Thread Group 3-5,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,,0,1,,476,369,445
1650338867555,478,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,,0,0,,443,449,533
1650338867658,468,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,,0,1,,432,447,416
1650338867903,445,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,,0,0,,410,352,413
1650338867916,503,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,,0,0,,462,413,455
1650338867975,553,HTTP Request,200,OK,Thread Group 3-5,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,,0,0,,512,348,495
1650338868033,631,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,7,7,http://localhost:50001/calculationsStored,,0,1,,584,515,511
1650338868063,727,HTTP Request,200,OK,Thread Group 3-6,text,true,,37675170,7,7,http://localhost:50001/calculationsStored,,0,0,,673,554,566
