timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,Latency,Latency,Latency
1650343143172,160,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,1,1,http://localhost:50001/calculationsStored,120,0,1,,120,120,114
1650343143447,153,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,1,1,http://localhost:50001/calculationsStored,114,0,2,,114,110,121
1650343143701,159,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,115,0,2,,115,125,101
1650343143715,218,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,181,0,0,,181,128,103
1650343143968,124,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,80,0,1,,80,93,69
1650343144033,128,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,95,0,1,,95,118,71
1650343144209,139,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,87,0,1,,87,96,76
1650343144270,165,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,120,0,0,,120,107,70
1650343144314,210,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,167,0,1,,167,91,115
1650343144448,147,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,108,0,1,,108,111,211
1650343144542,147,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,106,0,0,,106,103,179
1650343144626,154,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,111,0,0,,111,124,102
1650343144696,181,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,130,0,0,,130,127,89
1650343144789,189,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,134,0,0,,134,119,125
1650343144884,232,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,182,0,0,,182,138,152
1650343144914,262,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,215,0,0,,215,172,165
1650343145087,198,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,145,0,0,,145,265,219
1650343144979,375,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,326,0,1,,326,271,228
