timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,Latency,Latency,Latency
1650341703631,131,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,1,1,http://localhost:50001/calculationsStored,95,0,1,,95,128,120
1650341703866,159,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,1,1,http://localhost:50001/calculationsStored,123,0,0,,123,115,113
1650341704126,179,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,115,0,0,,115,85,124
1650341704215,157,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,116,0,0,,116,129,132
1650341704427,160,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,103,0,0,,103,84,85
1650341704473,188,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,151,0,0,,151,86,104
1650341704700,139,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,88,0,1,,88,79,98
1650341704765,171,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,133,0,0,,133,98,113
1650341704816,219,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,175,0,0,,175,100,135
1650341704939,191,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,155,0,1,,155,170,159
1650341705036,205,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,166,0,0,,166,166,146
1650341705135,205,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,166,0,0,,166,142,187
1650341705232,208,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,166,0,0,,166,172,182
1650341705342,211,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,161,0,0,,161,174,192
1650341705415,381,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,300,0,0,,300,176,202
1650341705441,368,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,295,0,0,,295,320,289
1650341705541,400,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,345,0,0,,345,269,261
1650341705654,337,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,288,0,0,,288,275,289
1650341705899,244,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,198,0,0,,198,181,266
1650341705911,333,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,267,0,0,,267,317,277
1650341706093,350,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,300,0,1,,300,367,431
1650341706026,565,HTTP Request,200,OK,Thread Group 3-5,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,488,0,0,,488,379,367
1650341706055,542,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,451,0,0,,451,474,395
1650341706357,446,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,381,0,0,,381,440,424
1650341706244,567,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,487,0,0,,487,410,326
1650341706544,449,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,349,0,0,,349,432,376
1650341706698,519,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,7,7,http://localhost:50001/calculationsStored,445,0,0,,445,394,406
1650341706617,608,HTTP Request,200,OK,Thread Group 3-6,text,true,,37675170,7,7,http://localhost:50001/calculationsStored,531,0,1,,531,393,403
1650341706694,543,HTTP Request,200,OK,Thread Group 3-5,text,true,,37675170,7,7,http://localhost:50001/calculationsStored,490,0,0,,490,616,640
1650341706903,514,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,7,7,http://localhost:50001/calculationsStored,458,0,0,,458,386,564
1650341706912,620,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,7,7,http://localhost:50001/calculationsStored,588,0,0,,588,517,471
1650341707093,726,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,8,8,http://localhost:50001/calculationsStored,614,0,1,,614,450,657
1650341707226,638,HTTP Request,200,OK,Thread Group 3-7,text,true,,37675170,8,8,http://localhost:50001/calculationsStored,543,0,0,,543,732,580
1650341707320,649,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,8,8,http://localhost:50001/calculationsStored,584,0,0,,584,755,622
